Name,Season(s),First seen,Last seen,Appeared in,Mentioned in,Titles,Also known as,Status,Age,Date of birth,Death,Origin,Allegiance,Culture,Religion,Family,Portrayed by
"Daenerys Targaryen
","1, 2, 3, 4, 5","""Winter is Coming""",,34 episodes (see below),,"Daenerys of the House Targaryen, the First of Her NameQueen of MeereenQueen of the Andals, the Rhoynar and the First Men (claimant)Lady Regnant of the Seven Kingdoms (claimant)Protector of the Realm (claimant)Khaleesi of the Great Grass SeaBreaker of ChainsMother of Dragons",Daenerys StormbornDanyThe UnburntMhysaThe Queen Across the SeaThe Silver Queen,Alive,20 in Season 5[1],,,Dragonstone,House Targaryen,Valyrian,,{Aerys II Targaryen} - father/uncle{Rhaella Targaryen} - mother/aunt{Rhaegar Targaryen} - brother{Viserys Targaryen} - brother{Elia Martell} - sister-in-law{Rhaenys Targaryen} - niece{Aegon Targaryen} - nephewMaester Aemon Targaryen - great-uncle{Duncan Targaryen} - uncle{Daeron Targaryen} - uncle{Drogo} - husband{Rhaego} - son (stillborn),Emilia Clarke
"Joffrey Baratheon
","1, 2, 3, 4","""Winter is Coming""","""The Lion and the Rose""""Breaker of Chains"" (corpse)",26 episodes (see below),,King of the Andals and the First MenLord of the Seven KingdomsProtector of the Realm,"King Joffrey of House Baratheon, the First of His Name.The King on the Iron Throne",Deceased,19 in Season 4[1],,"Poisoned at his wedding feast by Olenna Tyrell with the assistance of Petyr Baelish""The Lion and the Rose""",King's Landing,House Baratheon of King's Landing House Lannister,Andal,Faith of the Seven,"{Robert Baratheon} - legal fatherCersei Lannister - mother/aunt
Jaime Lannister - biological father/uncle{Tywin Lannister} - grandfather{Joanna Lannister} - grandmotherTyrion Lannister - uncle{Renly Baratheon} - uncle (non-biological)Stannis Baratheon - uncle (non-biological)Myrcella Baratheon - sister/cousinTommen Baratheon - brother/cousinMargaery Tyrell - wifeSansa Stark - aunt by marriage",Jack Gleeson
"Tyrion Lannister
","1, 2, 3, 4, 5","""Winter is Coming""","""The Lion and the Rose""""Breaker of Chains"" (corpse)",37 episodes (see below),,Master of Coin (former)Hand of the King (acting) (former),The ImpHalfmanThe Little LionDemon Monkey,Alive,Approx. 37 in Season 5[1],,"Poisoned at his wedding feast by Olenna Tyrell with the assistance of Petyr Baelish""The Lion and the Rose""",Casterly Rock,House Lannister,Andal,Faith of the Seven,{Tywin Lannister} - father{Joanna Lannister} - mother{Tytos Lannister} - paternal grandfatherCersei Lannister - sisterJaime Lannister - brother{Joffrey Baratheon} - nephewMyrcella Baratheon - nieceTommen Baratheon - nephewSer Kevan Lannister - uncleSer Lancel Lannister - first cousin{Martyn Lannister} - first cousin{Willem Lannister} - first cousin{Robert Baratheon} - brother-in-lawStannis Baratheon - brother-in-law{Renly Baratheon} - brother-in-lawSelyse Baratheon - sister-in-lawShireen Baratheon - niece by marriageTysha - wife (annulled)Sansa Stark - wife by forced marriage by Tywin{Catelyn Stark} - mother-in-law,Peter Dinklage
"Sansa Stark
","1, 2, 3, 4, 5","""Winter is Coming""","""The Lion and the Rose""""Breaker of Chains"" (corpse)",32 episodes (see below),,PrincessLady of Winterfell,Little DoveLittle BirdSansa LannisterAlayne,Alive,Approx. 16-17 in Season 5,,"Poisoned at his wedding feast by Olenna Tyrell with the assistance of Petyr Baelish""The Lion and the Rose""",Winterfell,House Stark - by birthHouse Lannister - by forced marriageHouse Baelish - as Alayne,Northmen (with strong Andal influence from her mother),Old Gods of the ForestFaith of the Seven,"{Eddard Stark} - father{Catelyn Stark} - mother{Robb Stark} - brotherArya Stark - sisterBran Stark - brotherRickon Stark - brotherJon Snow - bastard half-brotherBenjen Stark - paternal uncle{Brandon Stark} - paternal uncle{Lyanna Stark} - paternal aunt{Jon Arryn} - uncle by marriagePetyr Baelish - uncle by marriageRoslin Frey - aunt by marriage{Rickard Stark} - paternal grandfatherBrynden Tully - maternal great-uncle{Hoster Tully} - maternal grandfather{Minisa Tully} - maternal grandmotherEdmure Tully - maternal uncle{Lysa Arryn} - maternal auntRobin Arryn - first cousin{Talisa Maegyr} - sister-in-lawTyrion Lannister - husband by forced marriage{Tywin Lannister} - father-in-lawCersei Lannister - sister-in-law Jaime Lannister- brother-in-law {Joffrey Baratheon} - nephew by marriage, formerly betrothed Myrcella Baratheon - niece by marriage Tommen Baratheon - nephew by marriage",Sophie Turner
"Eddard Stark
",1,"""Winter is Coming""","""Fire and Blood""""The Lion and the Rose"" (Bran's vision)",11 episodes (see below),,"Lord of WinterfellHand of the KingLord Paramount of the NorthWarden of the NorthProtector of the Realm (briefly, unacknowledged)",Little DoveLittle BirdSansa LannisterAlayne,Deceased,Approx. 16-17 in Season 5,,"Executed by Ser Ilyn Payne at the order of Joffrey Baratheon in King's Landing""Baelor""",Winterfell,House Stark,Northmen,Old Gods of the Forest,{Rickard Stark} - father{Brandon Stark} - brother{Lyanna Stark} - sisterBenjen Stark - brother{Catelyn Stark} - wife{Robb Stark} - sonJon Snow - bastard sonSansa Stark - daughterArya Stark - daughterBran Stark - sonRickon Stark - son{Lysa Arryn} - sister-in-lawRobin Arryn - nephew-by-marriageEdmure Tully - brother-in-law{Hoster Tully} - father-in-law{Minisa Tully} - mother-in-law{Talisa Maegyr} - daughter-in-lawTyrion Lannister - son-in-law,Sean Bean
"Cersei Lannister
","1, 2, 3, 4, 5","""Winter is Coming""","""Fire and Blood""""The Lion and the Rose"" (Bran's vision)",37 episodes (see below),,Queen RegentLady Paramount of the WesterlandsLady of Casterly Rock,Little DoveLittle BirdSansa LannisterAlayne,Alive,Approx. 41 in Season 5[1],,"Executed by Ser Ilyn Payne at the order of Joffrey Baratheon in King's Landing""Baelor""","Casterly Rock, the Westerlands",House LannisterHouse Baratheon of King's Landing (by marriage),Andals,Old Gods of the Forest,{Tywin Lannister} - father{Joanna Lannister} - mother{Tytos Lannister} - paternal grandfatherSer Jaime Lannister - twin brother/loverTyrion Lannister - younger brother{Robert Baratheon} - husband{Trueborn son with Robert} - died in infancy{Joffrey Baratheon} - son/nephewMyrcella Baratheon - daughter/nieceTommen Baratheon - son/nephewSer Kevan Lannister - uncleSer Lancel Lannister - first cousin{Martyn Lannister} - first cousin{Willem Lannister} - first cousinStannis Baratheon - brother-in-law{Renly Baratheon} - brother-in-lawSelyse Baratheon - sister-in-lawShireen Baratheon - niece by marriageSansa Stark - sister-in-lawSer Loras Tyrell - betrothed,"Lena Headey (Adult)Nell Williams (Young, flashbacks in Season 5)"
"Arya Stark
","1, 2, 3, 4, 5","""Winter is Coming""","""Fire and Blood""""The Lion and the Rose"" (Bran's vision)",33 episodes (see below),,Princess,Arry,Alive,15 in Season 5,,"Executed by Ser Ilyn Payne at the order of Joffrey Baratheon in King's Landing""Baelor""",Winterfell,House Stark,Northmen,Old Gods of the Forest (formerly)Faith of the Seven (formerly)God of Death,{Eddard Stark} - father{Catelyn Stark} - mother{Robb Stark} - brotherSansa Stark - sisterBran Stark - brotherRickon Stark - brotherJon Snow - bastard half-brotherBenjen Stark - paternal uncle{Brandon Stark} - paternal uncle{Lyanna Stark} - paternal aunt{Jon Arryn} - uncle by marriagePetyr Baelish - uncle by marriageRoslin Frey - aunt by marriage{Rickard Stark} -  paternal grandfatherBrynden Tully - maternal great-uncle{Hoster Tully} - maternal grandfather{Minisa Tully} - maternal grandmotherEdmure Tully - maternal uncle{Lysa Arryn} - maternal auntRobin Arryn - first cousin{Talisa Maegyr} - sister-in-lawTyrion Lannister - brother-in-law,Maisie Williams
"Bronn
","1, 2, 3, 4, 5","""Cripples, Bastards and Broken Things""","""Fire and Blood""""The Lion and the Rose"" (Bran's vision)",20 episodes (see below),,SerCommander of the City Watch (briefly) (former),Ser Bronn of the Blackwater,Alive,15 in Season 5,,"Executed by Ser Ilyn Payne at the order of Joffrey Baratheon in King's Landing""Baelor""",Winterfell,House Stokeworth (by marriage),Northmen,Old Gods of the Forest (formerly)Faith of the Seven (formerly)God of Death,Lollys Stokeworth - betrothedLord Stokeworth - father-in-lawFalyse Stokeworth - sister-in-law,Jerome Flynn
"Tywin Lannister
","1, 2, 3, 4, 5","""You Win or You Die""","""The Children"" (alive)""The Wars to Come"" (corpse)",27 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Hand of the KingLord of Casterly RockWarden of the WestLord Paramount of the WesterlandsSavior of the City (of King's Landing)Protector of the Realm (for Tommen Baratheon),Ser Bronn of the Blackwater,Deceased,67 in Season 4 [1],,"Shot by his own son Tyrion, with a crossbow.""The Children""",Casterly Rock,House Lannister,Andal,Old Gods of the Forest (formerly)Faith of the Seven (formerly)God of Death,{Tytos Lannister} - fatherSer Kevan Lannister - brother{Joanna Lannister} - wifeCersei Lannister - daughterJaime Lannister - sonTyrion Lannister - son{Robert Baratheon} - son-in-law{Joffrey Baratheon} - grandsonMyrcella Baratheon - granddaughterTommen Baratheon - grandsonDorna Lannister - sister-in-lawSer Lancel Lannister - nephew{Martyn Lannister} - nephew{Willem Lannister} - nephewSansa Stark - daughter-in-law,Charles Dance
"Brienne of Tarth
","2, 3, 4, 5","""What is Dead May Never Die""","""The Children"" (alive)""The Wars to Come"" (corpse)",22 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Hand of the KingLord of Casterly RockWarden of the WestLord Paramount of the WesterlandsSavior of the City (of King's Landing)Protector of the Realm (for Tommen Baratheon),Brienne the Beauty,Alive,67 in Season 4 [1],,"Shot by his own son Tyrion, with a crossbow.""The Children""","Evenfall Hall, Tarth island, the Stormlands",House TarthHouse BaratheonRenly Baratheon's KingsguardHouse Tully,Andal,Faith of the Seven,Selwyn Tarth - father,Gwendoline Christie
"Robert Baratheon
",1,"""Winter is Coming""","""You Win or You Die""",7 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",King of the Andals and the First MenLord of the Seven KingdomsProtector of the RealmLord of Storm's End (former)Lord Paramount of the Stormlands (former),"Robert of House Baratheon, the First of His NameThe Usurper",Deceased,67 in Season 4 [1],,"Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister, on orders from Cersei Lannister""You Win or You Die""",Storm's End,House Baratheon,Andal,Faith of the Seven,"{Steffon Baratheon} - father
{Cassana Baratheon} - mother
Stannis Baratheon - younger brother
{Renly Baratheon} - youngest brother
Cersei Lannister - wife/widow{Trueborn son with Cersei} - died in infancy
{Joffrey Baratheon} - alleged son (step-son)
Myrcella Baratheon - alleged daughter (step-daughter)
Tommen Baratheon - alleged son (step-son)
Gendry - unacknowledged bastard son
{Barra} - unacknowledged bastard daughter
Selyse Baratheon - sister-in-law
Shireen Baratheon - niece
{Tywin Lannister} - father-in-law
Jaime Lannister - brother-in-law

Tyrion Lannister - brother-in-law{Lyanna Stark} - betrothed (formerly)Other bastards",Mark Addy
"Varys
","1, 2, 3, 4, 5","""Lord Snow""","""You Win or You Die""",25 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Master of Whisperers (formerly),The SpiderThe EunuchLord Varys,Alive,67 in Season 4 [1],,"Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister, on orders from Cersei Lannister""You Win or You Die""","Lys, the Free Cities",House Baratheon,Andal,Faith of the Seven,"{Steffon Baratheon} - father
{Cassana Baratheon} - mother
Stannis Baratheon - younger brother
{Renly Baratheon} - youngest brother
Cersei Lannister - wife/widow{Trueborn son with Cersei} - died in infancy
{Joffrey Baratheon} - alleged son (step-son)
Myrcella Baratheon - alleged daughter (step-daughter)
Tommen Baratheon - alleged son (step-son)
Gendry - unacknowledged bastard son
{Barra} - unacknowledged bastard daughter
Selyse Baratheon - sister-in-law
Shireen Baratheon - niece
{Tywin Lannister} - father-in-law
Jaime Lannister - brother-in-law

Tyrion Lannister - brother-in-law{Lyanna Stark} - betrothed (formerly)Other bastards",Conleth Hill
"Jaime Lannister
","1, 2, 3, 4, 5","""Winter is Coming""","""You Win or You Die""",29 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Lord Commander of the KingsguardSer,The Kingslayer,Alive,Approx. 41 in Season 5[1],,"Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister, on orders from Cersei Lannister""You Win or You Die""",Casterly Rock,The KingsguardHouse Lannister,Andals,Faith of the Seven,{Tywin Lannister} - father{Joanna Lannister} - mother{Tytos Lannister} - paternal grandfatherTyrion Lannister - brotherCersei Lannister - twin sister/loverSer Kevan Lannister - uncleDorna Lannister - auntSer Lancel Lannister - first cousin{Martyn Lannister} - first cousin{Willem Lannister} - first cousin {Joffrey Baratheon} - nephew/sonTommen Baratheon - nephew/sonMyrcella Baratheon - niece/daughter{Robert Baratheon} - brother-in-lawStannis Baratheon - brother-in-law{Renly Baratheon} - brother-in-lawSelyse Baratheon - sister-in-lawShireen Baratheon - niece by marriageSansa Stark - sister-in-law,Nikolaj Coster-Waldau
"Margaery Tyrell
","2, 3, 4, 5","""What is Dead May Never Die""","""You Win or You Die""",17 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",QueenLady,The Kingslayer,Alive,Approx. 41 in Season 5[1],,"Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister, on orders from Cersei Lannister""You Win or You Die""",Highgarden,"House Tyrell (by birth)House Baratheon of King's Landing (by marriage) House Baratheon (by marriage, annulled)",Andal,Faith of the Seven,Mace Tyrell - fatherAlerie Tyrell - motherOlenna Tyrell - grandmother{Luthor Tyrell} - grandfatherSer Loras Tyrell - brother{Renly Baratheon} - first husband{Joffrey Baratheon} - second husbandLynesse Hightower - auntTommen Baratheon - betrothed,Natalie Dormer
"Drogo
","1, 2","""Winter is Coming""","""Fire and Blood"" (actual appearance)
""Valar Morghulis"" (Daenerys' vision)",10 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Khal,The Great Khal,Deceased,Approx. 41 in Season 5[1],,"Smothered by Daenerys Targaryen in a mercy killing after being left in a vegetative state by Mirri Maz Duur""Fire and Blood""",Vaes Dothrak,Himself,Dothraki,Great Stallion,{Bharbo} - fatherDaenerys Targaryen - wife{Rhaego} - son (stillborn){Viserys Targaryen} - brother-in-law,Jason Momoa
"Jon Snow
","1, 2, 3, 4, 5","""Winter is Coming""","""Fire and Blood"" (actual appearance)
""Valar Morghulis"" (Daenerys' vision)",33 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Steward,Lord SnowThe Bastard of Winterfell,Alive,20 in Season 5[1],,"Smothered by Daenerys Targaryen in a mercy killing after being left in a vegetative state by Mirri Maz Duur""Fire and Blood""",Winterfell,The Night's WatchHouse Stark,Northmen,Old Gods of the Forest,{Eddard Stark} - fatherWylla - alleged motherBenjen Stark - uncle{Robb Stark} - half-brotherSansa Stark - half-sisterArya Stark - half-sisterBran Stark - half-brotherRickon Stark - half-brother{Talisa Maegyr} - half-sister-in-lawTyrion Lannister - half-brother-in-law{Ygritte} - lover,Kit Harington
"Viserys Targaryen
",1,"""Winter is Coming""","""A Golden Crown""",5 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",King of the Andals and the First Men (claimant)Lord of the Seven Kingdoms (claimant)Protector of the Realm (claimant),"The Beggar KingViserys III TargaryenViserys of House Targaryen the Third of His Name
Khal Rhaggat (Cart King)

Khal Rhae Mhar (Sorefoot King)",Deceased,20 in Season 5[1],,"Burned with molten gold by Khal Drogo""A Golden Crown""",King's Landing,House Targaryen,Valyrian,Old Gods of the Forest,{Aerys II Targaryen} - father{Rhaella Targaryen} - mother{Rhaegar Targaryen} - brotherDaenerys Targaryen - sisterAemon Targaryen - great-uncle{Duncan Targaryen} - uncle{Daeron Targaryen} - uncle{Drogo} - brother-in-law{Elia Targaryen} - sister-in-law{Rhaenys Targaryen} - niece{Aegon Targaryen} - nephew{Rhaego} - nephew,Harry Lloyd
"Sandor Clegane
","1, 2, 3, 4","""Winter is Coming""","""The Children""",27 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",King of the Andals and the First Men (claimant)Lord of the Seven Kingdoms (claimant)Protector of the Realm (claimant),The HoundDog,Uncertain; critically wounded by Brienne of Tarth and left to die by Arya Stark,20 in Season 5[1],,"Burned with molten gold by Khal Drogo""A Golden Crown""",King's Landing,House Baratheon of King's Landing (former)The Kingsguard (former)House Clegane (former),Valyrian,Old Gods of the Forest,{Clegane} - grandfather{Unnamed father}Ser Gregor Clegane - brother{Unnamed sister},Rory McCann
"Jorah Mormont
","1, 2, 3, 4, 5","""Winter is Coming""","""The Children""",31 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Lord of Bear Island (formerly)Ser,Jorah the Andal,Alive,20 in Season 5[1],,"Burned with molten gold by Khal Drogo""A Golden Crown""",Bear Island,House Targaryen (by oath)Varys (formerly)Golden Company (formerly)House Mormont (by birth),Northmen,Old Gods of the Forest,{Jeor Mormont} - fatherMaege Mormont - auntLynesse Hightower - wife (separated)Alerie Tyrell - sister-in-lawMargaery Tyrell - niece by marriageLoras Tyrell - nephew by marriage,Iain Glen
