name,season,appeared,status,deathcause,origin,houseallegiance,portrayed,culture,religion,gender,image
Tyrion Lannister,1 2 3 4 5,46,Alive,,Casterly Rock,"Lannister, Targaryen",Peter Dinklage,Andal,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20150619051612/gameofthrones/images/thumb/c/c8/Tyrion-TheDanceofDragons.jpg/250px-Tyrion-TheDanceofDragons.jpg
Cersei Lannister,1 2 3 4 5,44,Alive,,Casterly Rock,"Lannister, Baratheon",Lena Headey,Andal,Faith of the Seven,f,http://img3.wikia.nocookie.net/__cb20150617003215/gameofthrones/images/thumb/f/f6/Cersei_Lannister_%28S05E10%29.jpg/250px-Cersei_Lannister_%28S05E10%29.jpg
Daenerys Targaryen,1 2 3 4 5,41,Alive,,Dragonstone,Targaryen,Emilia Clarke,Valyrian,Unknown,f,http://img3.wikia.nocookie.net/__cb20150617180426/gameofthrones/images/thumb/9/9b/Daenerys-MothersMercy.jpg/250px-Daenerys-MothersMercy.jpg
Jon Snow,1 2 3 4 5,41,Deceased,Blade,Winterfell,"Night's Watch, Stark",Kit Harington,Northmen,Old Gods of the Forest,m,http://img4.wikia.nocookie.net/__cb20150512181258/gameofthrones/images/thumb/9/95/Jon_Snow_%28S05E05%29.jpg/250px-Jon_Snow_%28S05E05%29.jpg
Sansa Stark,1 2 3 4 5,40,Uncertain,,Winterfell,"Stark, Baelish, Bolton",Sophie Turner,Northmen,"Old Gods of the Forest, Faith of the Seven",f,http://img3.wikia.nocookie.net/__cb20150518204704/gameofthrones/images/thumb/5/59/Sansa-S05E06.jpg/250px-Sansa-S05E06.jpg
Arya Stark,1 2 3 4 5,39,Alive,,Winterfell,"Stark, Faceless Men",Maisie Williams,Northmen,"Old Gods of the Forest, Faith of the Seven,Many-Faced God",f,http://img2.wikia.nocookie.net/__cb20150617002711/gameofthrones/images/thumb/7/72/Arya-Mercy.jpg/250px-Arya-Mercy.webp
Jorah Mormont,1 2 3 4 5,39,Alive,,Bear Island,"Targaryen, Golden Company, Mormont",Iain Glen,Northmen,Old Gods of the Forest,m,http://img3.wikia.nocookie.net/__cb20150605193636/gameofthrones/images/thumb/4/46/Jorah-hd-still-S5E8.jpg/250px-Jorah-hd-still-S5E8.jpg
Jaime Lannister,1 2 3 4 5,35,Alive,,Casterly Rock,"Kingsguard, Lannister",Nikolaj Coster-Waldau,Andal,Faith of the Seven,m,http://img3.wikia.nocookie.net/__cb20150422205941/gameofthrones/images/thumb/8/81/Jaime_Lannister_%28S05E02%29.jpg/250px-Jaime_Lannister_%28S05E02%29.jpg
Samwell Tarly,1 2 3 4 5,35,Alive,,"Horn Hill, The Reach","Night's Watch, Tarly",John Bradley-West,Andal,"Faith of the Seven, Old Gods of the Forest",m,http://img2.wikia.nocookie.net/__cb20140519172406/gameofthrones/images/thumb/1/1c/Samwell_Tarly_in_Mockingbird.png/250px-Samwell_Tarly_in_Mockingbird.png
Theon Greyjoy,1 2 3 4 5,32,Alive,,Pyke,"Bolton, Greyjoy, Stark",Alfie Allen,Ironborn,Drowned God,m,http://img3.wikia.nocookie.net/__cb20150521020701/gameofthrones/images/thumb/0/0a/Reek_in_sansas_wedding.jpg/250px-Reek_in_sansas_wedding.jpg
Petyr Baelish,1 2 3 4 5,30,Alive,,"The Fingers, The Vale of Arryn",Baelish,Aidan Gillen,Unknown,Unknown,m,http://img1.wikia.nocookie.net/__cb20150219051259/gameofthrones/images/thumb/8/87/Littlefinger_S5.jpg/250px-Littlefinger_S5.jpg
Varys,1 2 3 4 5,28,Alive,,"Lys, the Free Cities",Self,Conleth Hill,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20150218060453/gameofthrones/images/thumb/a/ae/Varys_S5.jpg/250px-Varys_S5.jpg
Brienne of Tarth,2 3 4 5,27,Alive,,"Evenfall Hall, Tarth island, the Stormlands","Tarth, Baratheon, Kingsguard, Tully",Gwendoline Christie,Andal,Faith of the Seven,f,http://img1.wikia.nocookie.net/__cb20150515051937/gameofthrones/images/thumb/4/40/Brienne_S05E05.jpg/250px-Brienne_S05E05.jpg
Tywin Lannister,1 2 3 4 5,27,Deceased,Arrow,Casterly Rock,Lannister,Charles Dance,Andal,Faith of the Seven,m,http://img2.wikia.nocookie.net/__cb20140326175142/gameofthrones/images/thumb/e/ed/Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg/250px-Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg
