Name,Season,Status,Death,Allegiance
"Daenerys Targaryen
","1, 2, 3, 4, 5",Alive,,Targaryen
"Joffrey Baratheon
","1, 2, 3, 4",Deceased,Poison,"Baratheon,Lannister"
"Jon Snow
","1, 2, 3, 4, 5",Alive,,Stark
"Tyrion Lannister
","1, 2, 3, 4, 5",Alive,,Lannister
"Theon Greyjoy
","1, 2, 3, 4, 5",Alive,,"Bolton,Greyjoy,Stark"
"Arya Stark
","1, 2, 3, 4, 5",Alive,,Stark
"Sansa Stark
","1, 2, 3, 4, 5",Alive,,"Stark,Lannister,Baelish"
"Margaery Tyrell
","2, 3, 4, 5",Alive,,"Tyrell,Baratheon"
"Robb Stark
","1, 2, 3",Deceased,Shot,Stark
"Ramsay Bolton
","3, 4, 5",Alive,,Bolton
"Jaime Lannister
","1, 2, 3, 4, 5",Alive,,Lannister
"Cersei Lannister
","1, 2, 3, 4, 5",Alive,,"Lannister,Baratheon"
"Eddard Stark
",1,Deceased,Executed,Stark
"Stannis Baratheon
","2, 3, 4, 5",Alive,,Baratheon
"Bran Stark
","1, 2, 3, 4",Alive,,Stark
"Petyr Baelish
","1, 2, 3, 4, 5",Alive,,Baelish
"Daario Naharis
","3, 4, 5",Alive,,Targaryen
"Tywin Lannister
","1, 2, 3, 4",Deceased,Shot,Lannister
"Drogo
","1, 2",Deceased,Smothered,
"Ygritte
","2, 3, 4",Deceased,Shot,Free Folk
"Shae
","1, 2, 3, 4",Deceased,Strangled,
"Gendry
","1, 2, 3",Alive,,
"Jorah Mormont
","1, 2, 3, 4, 5",Alive,,"Targaryen,Mormont"
"Melisandre
","2, 3, 4, 5",Alive,,Baratheon
"Robert Baratheon
",1,Deceased,Other (boar attack),Baratheon
"Catelyn Stark
","1, 2, 3",Deceased,Other (throat slit),"Stark,Tully"
"Brienne of Tarth
","2, 3, 4, 5",Alive,,"Tarth,Baratheon,Tully"
"Varys
","1, 2, 3, 4, 5",Alive,,
"Talisa Stark
","2, 3",Deceased,Stabbed,Stark
"Viserys Targaryen
",1,Deceased,Other (burned),Targaryen
"Bronn
","1, 2, 3, 4, 5",Alive,,Stokeworth
"Samwell Tarly
","1, 2, 3, 4, 5",Alive,,Tarly
"Jeor Mormont
","1, 2, 3",Deceased,Stabbed,Mormont
"Davos Seaworth
","2, 3, 4, 5",Alive,,"Baratheon,Seaworth"
"Missandei
","3, 4, 5",Alive,,Targaryen
"Gilly
","2, 3, 4, 5",Alive,,
Tormund,"3, 4, 5",Alive,,Free Folk
