name,season,appeared,rating,contentdescripters,origin,weapons,portrayed,culture,religion,gender,image
Tyrion Lannister,1 2 3 4 5,38,Alive,,Casterly Rock,Lannister,Peter Dinklage,Andal,Faith of the Seven,m,http://img4.wikia.nocookie.net/__cb20150218060011/gameofthrones/images/thumb/e/e1/TyrionS5.png/130px-0%2C807%2C18%2C732-TyrionS5.png
Cersei Lannister,1 2 3 4 5,38,Alive,,Casterly Rock,"Lannister, Baratheon",Lena Headey,Andal,Faith of the Seven,f,http://img2.wikia.nocookie.net/__cb20150218182017/gameofthrones/images/thumb/4/41/CerseiS5.png/130px-0%2C1874%2C34%2C1692-CerseiS5.png
Daenerys Targaryen,1 2 3 4 5,35,Alive,,Dragonstone,Targaryen,Emilia Clarke,Valyrian,Unknown,f,http://img2.wikia.nocookie.net/__cb20150409231554/gameofthrones/images/thumb/8/8b/GOT_Season_5_03.jpg/130px-0%2C2100%2C41%2C1899-GOT_Season_5_03.jpg
Arya Stark,1 2 3 4 5,34,Alive,,Winterfell,Stark,Maisie Williams,Northmen,"Old Gods of the Forest, Faith of the Seven, God of Death",f,http://img4.wikia.nocookie.net/__cb20150218171658/gameofthrones/images/thumb/6/6e/AryaS5.png/130px-0%2C2084%2C42%2C1886-AryaS5.png
Jon Snow,1 2 3 4 5,34,Alive,,Winterfell,"Night's Watch, Stark",Kit Harington,Northmen,Old Gods of the Forest,m,http://img1.wikia.nocookie.net/__cb20140619120945/gameofthrones/images/thumb/4/47/Jon_Snow_in_The_Children.png/130px-0%2C2045%2C40%2C1849-Jon_Snow_in_The_Children.png
Sansa Stark,1 2 3 4 5,33,Alive,,Winterfell,"Stark, Baelish",Sophie Turner,Northmen,"Old Gods of the Forest, Faith of the Seven",f,http://img3.wikia.nocookie.net/__cb20150218173040/gameofthrones/images/thumb/e/ed/DarkSansa.png/130px-0%2C1019%2C24%2C925-DarkSansa.png
Jorah Mormont,1 2 3 4 5,31,Alive,,Bear Island,"Targaryen, Golden Company, Mormont",Iain Glen,Northmen,Old Gods of the Forest,m,http://img4.wikia.nocookie.net/__cb20140515204127/gameofthrones/images/thumb/5/59/Jorah-Mormont-Profile-HD.png/130px-0%2C482%2C9%2C435-Jorah-Mormont-Profile-HD.png
Jaime Lannister,1 2 3 4 5,30,Alive,,Casterly Rock,"Kingsguard, Lannister",Nikolaj Coster-Waldau,Andal,Faith of the Seven,m,http://img3.wikia.nocookie.net/__cb20150415043615/gameofthrones/images/thumb/6/6d/Jaime_the_wars_to_come_s5.jpg/130px-0%2C359%2C7%2C325-Jaime_the_wars_to_come_s5.jpg
Sandor Clegane,1 2 3 4,27,Uncertain,,Unknown,"Baratheon, Kingsguard, Clegane",Rory McCann,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20140616132109/gameofthrones/images/thumb/9/91/Sandor_%28The_Children%29.PNG/130px-0%2C338%2C5%2C304-Sandor_%28The_Children%29.PNG
Samwell Tarly,1 2 3 4 5,28,Alive,,"Horn Hill, The Reach","Night's Watch, Tarly",John Bradley-West,Andal,"Faith of the Seven, Old Gods of the Forest",m,http://img2.wikia.nocookie.net/__cb20140519172406/gameofthrones/images/thumb/1/1c/Samwell_Tarly_in_Mockingbird.png/130px-0%2C666%2C13%2C602-Samwell_Tarly_in_Mockingbird.png
Tywin Lannister,1 2 3 4 5,27,Deceased,Shot,Casterly Rock,Lannister,Charles Dance,Andal,Faith of the Seven,m,http://img2.wikia.nocookie.net/__cb20140326175142/gameofthrones/images/thumb/e/ed/Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg/130px-0%2C1591%2C27%2C1434-Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg
Joffrey Baratheon,1 2 3 4,26,Deceased,Poisoned,King's Landing,"Lannister, Baratheon",Jack Gleeson,Andal,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20150314033448/gameofthrones/images/thumb/5/50/Joff.jpg/130px-0%2C800%2C15%2C723-Joff.jpg
Theon Greyjoy,1 2 3 4 5,26,Alive,,Pyke,"Bolton, Greyjoy, Stark",Alfie Allen,Ironborn,Drowned God,m,http://img4.wikia.nocookie.net/__cb20140702160433/gameofthrones/images/thumb/0/01/Theon-mountainandviper.jpg/130px-0%2C1264%2C27%2C1145-Theon-mountainandviper.jpg
Bran Stark,1 2 3 4,25,Alive,,Winterfell,Stark,Isaac Hempstead-Wright,Northmen,Old Gods of the Forest,m,http://img1.wikia.nocookie.net/__cb20140428204046/gameofthrones/images/thumb/9/97/Bran_Stark_in_Oathkeeper.png/130px-0%2C1000%2C16%2C901-Bran_Stark_in_Oathkeeper.png
Petyr Baelish,1 2 3 4 5,26,Alive,,"The Fingers, The Vale of Arryn",Baelish,Aidan Gillen,Unknown,Unknown,m,http://img1.wikia.nocookie.net/__cb20150219051259/gameofthrones/images/thumb/8/87/Littlefinger_S5.jpg/130px-0%2C1525%2C34%2C1383-Littlefinger_S5.jpg
Catelyn Stark,1 2 3,25,Deceased,Throat Slit,Riverrun,"Stark, Tully",Michelle Fairley,Andal,Faith of the Seven,f,http://img2.wikia.nocookie.net/__cb20140515200719/gameofthrones/images/thumb/f/fb/Catelyn-Stark-Profile-HD.png/130px-0%2C544%2C9%2C490-Catelyn-Stark-Profile-HD.png
Varys,1 2 3 4 5,26,Alive,,"Lys, the Free Cities",Self,Conleth Hill,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20150218060453/gameofthrones/images/thumb/a/ae/Varys_S5.jpg/130px-0%2C991%2C26%2C903-Varys_S5.jpg
Robb Stark,1 2 3,22,Deceased,"Shot, Stabbed",Winterfell,Stark,Richard Madden,Northmen,"Old Gods of the Forest, Faith of the Seven",m,http://img2.wikia.nocookie.net/__cb20130413125346/gameofthrones/images/thumb/e/e9/Robb-3x03.jpg/130px-0%2C354%2C7%2C320-Robb-3x03.jpg
Barristan Selmy,1 3 4 5,23,Alive,,"Horn Hill, The Reach",Kingsguard,Ian McElhinney,Unknown,Unknown,m,http://img4.wikia.nocookie.net/__cb20140529000807/gameofthrones/images/thumb/7/71/Barristan-Selmy-Profile-HD.png/130px-0%2C735%2C13%2C663-Barristan-Selmy-Profile-HD.png
Brienne of Tarth,2 3 4 5,23,Alive,,"Evenfall Hall, Tarth island, the Stormlands","Tarth, Baratheon, Kingsguard, Tully",Gwendoline Christie,Andal,Faith of the Seven,f,http://img3.wikia.nocookie.net/__cb20140518145625/gameofthrones/images/thumb/c/ca/Brienne-Profile-HD.png/130px-0%2C823%2C14%2C742-Brienne-Profile-HD.png
Bronn,1 2 3 4 5,21,Alive,,Unknown,Stokeworth,Jerome Flynn,Unknown,Unknown,m,http://img4.wikia.nocookie.net/__cb20150416041716/gameofthrones/images/thumb/4/42/Ser-Bronn-Profile-HD.png/130px-0%2C321%2C6%2C290-Ser-Bronn-Profile-HD.png
Shae,1 2 3 4,20,Deceased,Strangled,Lorath,Self,Sibel Kekilli,Unknown,Unknown,f,http://img1.wikia.nocookie.net/__cb20140505142823/gameofthrones/images/thumb/0/01/Shae_in_Two_Swords.png/130px-0%2C1888%2C37%2C1707-Shae_in_Two_Swords.png
Stannis Baratheon,2 3 4 5,18,Alive,,Storm's End,Baratheon,Stephen Dillane,Andal,R'hllor Lord of Light,m,http://img2.wikia.nocookie.net/__cb20140618214826/gameofthrones/images/thumb/f/fe/Stannis-Baratheon-Profile_%283%29.png/130px-0%2C764%2C13%2C689-Stannis-Baratheon-Profile_%283%29.png
Ygritte,2 3 4,17,Deceased,Shot,Beyond the Wall,Free Folk,Rose Leslie,Free Folk,Unknown,f,http://img3.wikia.nocookie.net/__cb20140518100049/gameofthrones/images/thumb/4/47/Ygritte-Profile-HD.png/130px-0%2C892%2C14%2C803-Ygritte-Profile-HD.png
Margaery Tyrell,2 3 4 5,17,Alive,,Highgarden,"Tyrell, Baratheon",Natalie Dormer,Andal,Unknown,f,http://img4.wikia.nocookie.net/__cb20150416014255/gameofthrones/images/thumb/6/6e/MargS5.png/130px-0%2C665%2C12%2C600-MargS5.png
